input,summary,result,predicted_perplexity,rouge1_precision,rouge1_recall,rouge1_fscore,rouge2_precision,rouge2_recall,rouge2_fscore,rougeL_precision,rougeL_recall,rougeL_fscore
제1조 [목적] 이 계약서의 작성 목적은 갑과 을 간 상품의 직매입거래(갑이 매입 한 상품 중 판매되지 아니한 상품에 대한 판매책임을 부담하고 을로부터 상 품을 매입하는 형태의 거래를 말한다)에서 양 당사자 사이의 기본적인 권리와  의무를 정하기 위함에 있다.,"제1조 [목적] 이 조는 ‘갑’과 ‘을’이 상품을 직매입거래(‘갑’이 상품을 미리 사들이고, 판매되지 않은 상품에 대한 책임도 지는 형태) 시 서로의 기본적인 권리와 의무를 정하기 위한 계약 목적을 규정한다.",제1조 [목적] 이 계약서는 갑과 을 간의 상품 직매입거래에서 기본 권리와 의무를 명확히 규정하여 양 당사자 간의 거래 질서를 확립하는 것을 목적으로 한다.,19.64699363708496,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
제2조 [기본원칙] ① 갑과 을은 상호이익을 존중하고 이 계약상 의무를 신의에 따라 성실 히 이행함으로써 상호 공정한 거래관계와 동반성장을 추구한다.  ② 갑과 을은 이 계약의 이행과 관련하여 「대규모유통업에서의 거래  공정화에 관한 법률」 및 그 시행령 등 관련 법령의 규정을 준수한다.  ③ 을이 수입 명품 브랜드를 보유하는 등 갑이 을에 대하여 거래상  우월적 지위에 있다고 인정되지 아니할 경우에는 이 표준거래계약서의 내용을  거래 현실에 맞게 수정하여 사용할 수 있다.,"제2조 [기본원칙] 갑과 을은 상호 이익을 존중하고 신의성실 원칙에 따라 공정한 거래와 동반성장을 추구하며, 대규모유통업 관련 법령을 준수하되, 을이 수입 명품 브랜드 등을 보유하여 갑이 우월적 지위에 있지 않은 경우에는 계약 내용을 현실에 맞게 수정할 수 있다.","제2조 [기본원칙 본 계약은 갑과 을이 상호 존중과 성실한 이행을 바탕으로 공정한 거래 관계와 동반 성장을 추구하며, 관련 법률을 준수하고 필요시 거래 현실에 맞게 계약 내용을 조정할 수 있도록 규정하고 있다.",10.966490745544434,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
"제3조 [공정거래 준수 및 동반성장 지원] ① 갑과 을은 공정하고 투명한 거래를 위하여 다음 각 호의 내용을 준 수한다.   1. 상대방에게 금품, 향응, 편의 또는 접대를 요구하거나 제공해서는 아니 되며,  위법하거나 부당한 행위를 하지 아니한다.   2. 거래상 우월적 지위를 남용하여 공정한 거래질서에 반하는 행위를 요구하지  아니한다.   ② 갑은 을과의 동반성장을 위하여 을의 재무건전화, 기술개발 촉진,  근무환경개선 등을 위한 다양한 지원프로그램을 마련하여 지원하는데 노력한다.","제3조 [공정거래 준수 및 동반성장 지원] 갑과 을은 금품·향응 제공이나 우월적 지위 남용 등의 부당 행위를 금지하며 공정하고 투명한 거래를 준수하고, 동반성장을 위해 갑은 을의 재무건전화·기술개발 촉진·근무환경 개선 등을 지원하는 프로그램 마련에 노력한다.","제3조는 갑과 을이 공정거래 원칙을 준수하고 상호 동반성장을 위해 금품 거래 금지, 부당한 요구 금지, 우월적 지위 남용 방지를 규정하며, 갑은 을의 재무건전성 지원, 기술 개발 촉진, 근무환경 개선 등을 위한 다양한 지원 프로그램을 운영하기로 약속한다.",8.697973251342773,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
"제4조 [상품의 납품] ① 을이 갑에게 납품하여야 하는 상품의 종류, 수량 및 가격과 상품의  납품장소ㆍ납품기일은 [별지]와 같다. 상품의 종류, 수량 및 가격과 납품장소ㆍ 납품기일은 발주의뢰서, 매입전표, 세금계산서 등으로 대신할 수 있다.  ② 을은 제1항에 따른 납품기일 및 장소에 차질 없이 상품을 납품하여야  하며, 부득이한 사유로 제1항에 따른 납품기일에 상품의 납품이 불가능한 경우에 는 해당 기일의 전일까지 갑에게 납품 기한의 연장을 요청하여 사전 승인을  받아야 한다.  ③ 을은 갑에게 「담배사업법」, 「전기용품 및 생활용품 안전관리법」,  「대외무역법」, 「식품위생법」, 「상표법」, 「특허법」, 「디자인보호법」,  「표시·광고의 공정화에 관한 법률」 등 관련 법령의 규정을 준수하여 상품을  납품하여야 한다.  ④ 갑은 을이 상품을 납품하면 제5조제2항의 검수기준에 따라 검수를  마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 을이 이  계약에 따라 납품하는 상품을 지체 없이 수령한다.   1. 납품받은 상품이 을의 책임 있는 사유로 인하여 훼손된 경우   2. 납품받은 상품에 하자가 있는 경우   3. 납품받은 상품이 갑이 주문한 상품과 다른 경우   4. 일정한 기간 동안 주로 판매되는 상품으로 해당 기간을 넘겨 납품한 경우   5. 그 밖에 제1호부터 제4호까지의 규정에 준하는 사유로 갑이 상품의 수령 을 지체하거나 거부할 수 있는 정당한 사유가 있는 경우   ⑤ 을은 다음 각 호의 경우에 갑과 협조하여 필요한 조치를 강구한다.   1. 을의 책임 있는 사유로 납품한 상품이 오손 또는 훼손되거나 상품에 하 자가 있는 경우   2. 을이 이 계약의 내용과 다르게 상품을 납품하는 경우  ⑥ 갑은 납품과 관련하여 을에게 정당한 사유 없이 다음 각 호의 행위 를 해서는 아니 되며, 이 경우 을이 갑의 요구에 응하지 않더라도  갑은 을에게 이에 관한 책임을 물을 수 없다.   1. 통상적인 시장의 납품 가격보다 현저히 낮은 가격으로 납품하게 하는 행위   2. 판촉행사의 실시를 목적으로 통상의 납품수량보다 현저히 많은 수량을 납품 하게 하는 행위   3. 한시적으로 인하하기로 약정한 납품 가격을 기한이 경과한 후에도 정상가격 으로 환원하지 아니하거나 환원을 지연하는 행위   4. 유통업체가 매월 일정 이익율 확보를 위해 필요한 금액을 계산한 후 해당  금액을 확보하기 위해 납품금액 가격 인하를 요구하는 경우","제4조 [상품의 납품] 을은 별지 또는 관련 문서를 통해 정해진 상품 종류·수량·가격·납품기일·장소를 준수하고 관련 법령을 지키며 불가피한 경우 납품 기한 연장을 사전 승인받아야 하고, 갑은 훼손·하자·오배송·시기 부적합 등 정당한 사유가 없는 한 상품을 지체 없이 수령하며 문제 발생 시 상호 협조하되, 통상보다 현저히 낮은 가격 강요·과도한 납품 요구·가격 환원 지연 등 부당행위를 해서는 안 된다.","제4조는 상품 납품 조건을 명시하며, 납품 종류와 수량, 가격, 장소 및 기한은 별지에 기재되거나 관련 문서로 대체 가능하다. 판매자는 납품 기한 및 장소 준수와 불가피한 지연 시 사전 승인을 받아야 하며, 관련 법령 준수 의무가 있다. 구매자는 상품 수령 시 법적 사유 외에는 지연 없이 수령해야 하며, 판매자는 계약 내용 준수와 함께 책임 있는 사유 발생 시 협조해야 한다. 구매자는 부당한 가격 인하나 수량 강요 행위에 대해 판매자에게 책임을 물을 수 없다.",6.568586349487305,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
"제5조 [검수기준 및 품질검사] ① 갑은 납품받는 상품에 관하여 갑의 검수기준에 따른 검수를 하여야  한다. 이때 갑은 검수를 위하여 을에게 샘플을 요구할 수 있다.   ② 갑은 상품의 품질, 규격, 관련 법령의 허용기준 등 을이 납품하는  상품에 관한 검수기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본 법」 제2조제1호의 전자문서를 포함한다)으로 명확하게 알려야 한다.  ③ 갑은 을이 납품하는 상품에 대하여 품질검사 및 성분검사가 필요한  경우 을에게 해당 검사를 요구할 수 있다. 이 경우 을은 공인된 검사기  관으로부터 검사를 받은 후 검사결과를 해당 상품의 납품 전에 갑에게 제출 한다.  ④ 제3항에 따른 검사비용은 을이 부담한다. 다만 제3항에 따른 품질검사 및  성분검사 결과 을이 납품한 상품이 법적 기준을 충족하여 합격 또는 적합  판정을 받은 경우로서 다음 각 호의 어느 하나에 해당하는 경우에는 갑이  검사비용을 부담한다.   1. 을이 제3항에 따른 검사 이전에 이미 해당 상품에 대한 적절한 품질검사  또는 성분검사 등을 거쳐 이미 합격 또는 적합 판정을 받은 경우   2. 상품의 특성상 추가적인 공인기관의 검사를 거치지 않더라도 해당 상품의 품 질적합 여부가 외관상 뚜렷이 판단될 수 있는 등 처음부터 품질검사 및 성분 검사가 필요하지 않았다고 인정될 수 있는 경우  ⑤ 품질검사 및 성분검사 결과 을이 납품한 상품이 법적기준을 충족시키지  못하여 불합격 또는 부적합 판정을 받은 경우 갑은 해당 상품의 납품중지  및 상당한 기간을 정하여 시정을 요구할 수 있으며, 을이 시정요구에 불응할  경우 계약을 해지할 수 있다.","제5조 [검수기준 및 품질검사] 갑은 사전에 고지한 검수기준에 따라 납품상품을 검사하고 필요 시 을에게 품질·성분검사를 요구할 수 있으며, 을은 검사 결과를 납품 전 제출하고 비용을 부담하되 적합 판정 시 일부 조건에 따라 갑이 비용을 부담할 수 있고, 불합격 상품은 납품 중지·시정 요구·계약 해지 등의 조치를 취할 수 있다.","제5조 [검수기준 및 품질검사] 갑은 상품 검수를 위해 사전에 을에게 명확한 검수기준을 서면으로 제공하고, 필요시 샘플 요구 및 품질/성분 검사를 요청할 수 있으며, 검사 비용은 을이 부담하지만 법적 기준 미충족 시 갑이 비용을 부담할 수 있다. 불합격 시 갑은 상품 납품 중지와 시정 요구를 통해 계약 해지 권한을 행사할 수 있다.",6.1624040603637695,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
"제6조 [납품대금 지급 및 감액금지] ① 갑은 납품대금을 상품 입고일부터 60일 이내에 현금, 기업구매 전용카드 와 같은 현금성 결제수단으로 지급한다. 단, 해외 상품을 직매입하는 경우나  을의 서류 제공, 업무 처리 지연 등 갑의 귀책사유가 아닌 사유로 대금  지급이 지연된 경우에는 그러하지 아니하다.   ② 갑이 제1항에서 정한 기간을 넘겨서 납품대금을 지급하는 경우에는 그  초과 기간에 대하여 공정거래위원회가 고시하는 상품판매대금 지연지급 시  지연이율에 따른 이자를 지급한다.   ③ 갑은 을에게 납품받은 상품의 대금을 감액하거나, 상품 또는 상품권 으로 지급하지 아니한다.   ④ 갑은 제3항에도 불구하고 다음 각 호의 어느 하나에 해당하는 경우에는  납품받은 날부터 거래관행상 합리적이라고 인정되는 기간 안에서 을과 서면 으로 합의한 후에 감액할 수 있다. 다만, 해당 상품이 시간이 지남에 따라 품질 이 변질될 수 있는 전자담배와 같은 제품인 경우에는 해당 상품의 대금은  갑이 납품받은 시점부터 상품의 검수 및 매입을 마치기 전까지의 기간(특별 한 사유가 없으면 7일을 초과할 수 없다) 내에만 감액할 수 있다.   1. 납품받은 상품이 계약한 상품과 다른 경우   2. 을의 책임 있는 사유로 인하여 오손ㆍ훼손된 경우   3. 납품받은 상품에 하자가 있는 경우   4. 제1호부터 제3호까지에 준하는 정당한 사유가 있는 경우  ⑤ 갑은 을과 합의하여 이 계약에 따라 갑이 을에게 지급하여야  하는 상품대금에서 을이 갑에게 지급하여야 하는 비용을 공제한 후 지급 할 수 있다. 이 경우 갑은 공제 내역을 을에게 사전에 서면으로 통지한다.","제6조 [납품대금 지급 및 감액금지] 갑은 상품 입고일부터 60일 이내에 현금성 결제수단으로 납품대금을 지급하고, 이를 초과할 경우 이자를 지급하며, 대금 감액이나 상품·상품권 지급은 원칙적으로 금지하되, 하자·오손 등 정당한 사유가 있는 경우 합의 후 합리적 기간 내에 감액할 수 있고, 을에게 사전에 서면 통지한 후 공제 비용을 제외한 금액을 지급할 수 있다.","제6조는 납품대금 지급 조건을 명시하며, 갑은 상품 입고 후 60일 이내에 현금 또는 카드로 지급해야 하되, 해외 상품이나 을의 책임 없는 사유로 인한 지연은 예외다. 지급 지연 시 지연 이자를 부과하고, 감액은 계약 상품 불일치, 오손/훼손, 하자 등 갑의 귀책사유 외 특별한 경우에만 서면 합의 하에 가능하며, 갑은 을에게 사전에 공제 내역을 통지해야 한다.",8.09211540222168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"제6조의2 [공급원가 변동에 따른 납품 가격의 조정] ①을은 계약 체결 이후 최저임금 인상, 원재료가격 상승 등으로 인해 납품하는  상품의 공급원가가 변동되어 납품 가격 조정이 불가피한 경우에는 다음 각 호 서 류를 첨부하여 갑에게 납품 가격 조정을 신청할 수 있다. ※ 계약서상을이납품가격을실질적으로조정할수있는내용(예시: 납품 가격은을이결정한다.)이별도조항으로반영된경우이조항제외가능   1. 납품 가격 조정 대상이 되는 상품의 공급원가 변동, 공급조건 변화 등을 확인 할 수 있는 서류    2. 그 밖에 납품 가격 조정에 필요한 서류  ② 갑은 제1항에 따른 신청이 있은 날부터 10일 안에 을과 협의를 개시하여야 하 며, 정당한 사유 없이 협의를 거부하거나 게을리하여서는 아니 된다. 단, 을이  제1항에 따른 첨부서류를 제공하지 않는 경우에는 그러하지 아니하다.  ③ 제2항에 따른 협의 결과 갑과 을이 계약서 내용 변경에 합의하는 경우 갑은 계 약 변경사항이 명시된 서면을 을에게 주어야 하며, 을은 해당 서면을 수령한 후 3 일 이내에 이를 검토하고 서명 또는 기명날인하여 갑에게 반송해야 한다. 이 때,  을이 서명 또는 기명날인하지 않을 경우 변경사항이 그대로 적용되는 것으로 간주 된다.  ④ 갑 또는 을은 다음 각 호의 어느 하나에 해당하는 경우 대규모유통업거래 분쟁 조정협의회에 조정을 신청할 수 있다.    1. 제1항에 따른 신청이 있은 날부터 30일 안에 갑과 을이 합의에 도달하지 아니 한 경우   2. 제1항에 따른 신청으로 인한 협의개시 이후 갑 또는 을이 협의 중단의 의사를  밝힌 경우 등 합의에 도달하지 못할 것이 분명하게 예상되는 경우, 갑은 을이  자발적으로 그로 인한 모든 비용을 부담하도록 요구할 수 있음","제6조의2 [공급원가 변동에 따른 납품 가격의 조정] 을은 최저임금 인상이나 원재료 가격 상승 등으로 공급원가가 변동될 경우 관련 서류를 첨부해 납품 가격 조정을 신청하고, 갑은 신청일로부터 10일 안에 협의를 시작하며 협의 결과 합의가 이루어지면 서면으로 계약변경 사항을 통보·서명하고, 30일 이내 합의 불발 시(또는 협의 중단 시) 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다.","제6조의2는 계약 체결 후 최저임금 인상이나 원재료 가격 상승 등으로 인한 공급원가 변동 시, 당사자 간 협의를 통해 납품 가격을 조정할 수 있는 절차를 규정하며, 협의 미이행 시 갑은 분쟁 조정협의회에 조정을 신청할 수 있는 권한을 부여한다. 협의 과정에서 갑은 첨부 서류 제출 의무를 준수해야 하며, 합의에 도달하지 못할 경우 갑은 을에게 추가 비용 부담을 요구할 수 있다.",8.396602630615234,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,1.0,0.5,0.6666666666666666
"제7조 [상품의 반품] ① 갑은 정당한 사유 없이 을로부터 매입한 상품의 전부 또는 일부를  을에게 반품(매입한 상품을 다른 상품과 바꾸는 등 실질적으로 반품이 되는  경우를 포함한다)할 수 없다. 다만, 다음 각 호의 어느 하나에 해당하는 경우로 서 거래관행상 합리적이라고 인정되는 기간 안에 반품하는 경우에는 정당한 사 유가 있는 것으로 추정한다.   1. 납품받은 상품에 을의 책임 있는 사유로 인한 오손, 훼손 또는 하자가   있는 경우   2. 납품받은 상품이 주문한 상품과 다른 경우   3. 납품받은 상품을 반품함으로써 생기는 손실을 갑이 부담하고 을의  사전 동의를 받은 경우   4. ""익스클루시브 시그니처 에디션"", ""한정판 스페셜 에디션"" 등 일정한 기간이 나 계절에 집중적으로 판매되는 상품에 대해 다음 조건에 따라 반품하는 경 우. 반품기한 납품일로부터 30일 이내 반품수량 총 수량의 10% 반품장소 서울특별시 중구 청파로 200 반품비용의부담자 상품 하자:을, 기타 사유:갑   5. 신ㆍ구 상품의 교체, 시장테스트 상품의 반품 등 을이 자기에게 직접적 으로 이익이 된다고 판단하여 반품일 이전에 자발적으로 반품을 서면으로 요 청한 경우. 이 경우, 을은 해당 반품이 자기에게 직접적으로 이익이 된 다는 객관적인 근거자료를 갑에게 제출한다.   6. 납품받은 상품이 위조물이거나 타인의 지식재산권을 침해하는 등으로 법령  또는 행정 지침을 위반하여 적법한 상품판매가 불가능한 경우   7. 수입 명품 브랜드 등 해당 브랜드 정책에 따라 반품이 이루어지고, 갑이  을에게 반품 관련 서류를 요구하거나 수취하기 어려운 특별한 사정이 있 는 경우   8. 제1호부터 제7호까지의 규정에 준하는 정당한 사유가 있는 경우  ② 다음 각 호의 어느 하나에 해당하는 경우와 같이 사회 통념상 을이 반품을  요청할 가능성이 거의 없는 경우에는 을이 제1항 제5호에 따라 반품 요청을  하였다고 하더라도 특별한 사정이 없는 한 을에게 반품할 수 없다.   1. 갑이 전시 등에 사용하여 상품 가치가 현저히 훼손된 상품에 대한 반품.  (단, 납품업자가 고급 브랜드 이미지 유지 등을 위해 할인판매를 원하지 않 아 자발적으로 반품을 요청한 경우는 제외)   2. PB상품 등 갑만을 위해 생산하여 납품하거나 갑의 상표권을 부착하여  생산한 제품으로 갑이외의 다른 유통채널로 판매가 어려운 상품에 대한   반품   3. 갑이 을과 협의 없이 점포 또는 매장을 리뉴얼하여 발생한 재고  처리를 위한 반품 등 갑의 귀책사유로 인한 반품      ③ 제1항제1호 및 제2호에 따른 반품 기간은 납품일로부터 ()일 이내로 한다. 다 만, 외관상 즉시 확인할 수 없는 하자는 객관적 자료(공인 검사 성적서 등)를 제 출하면 상호 협의로 기한을 연장할 수 있다.   반품 요청은 서면으로 제출해야 하며, 갑은 정당한 사유 없이 반품할 수 없고,  을에게 문제 해결 기회를 먼저 부여해야 한다. 동일 사유로 반복 반품 시, 양측 이 원인 분석 및 협의를 진행하며, 갑이 부당한 반품을 지속하면 을은 거부할 수  있다.  ④ 제3항에도 불구하고, 제1항제1호 및 제2호에 따른 반품은 납품 후 검수 및 매 입 완료 전(최대 2일)까지 요청해야 한다.   단, 육안으로 확인이 어려운 하자는 검사 결과 제출 시 조정 가능하며, 갑은 정 당한 사유 없이 반품할 수 없다. 을에게 보완 기회를 우선 제공하며, 부당 반품 이 지속되면 거부할 수 있다.  ⑤ 갑은 반품에 대한 기준과 절차를 사전에 자신의 홈페이지 등 을이 상 시 접근 가능한 매체수단에 공지하거나, 계약체결 시 별도의 서면으로 을에 게 통지한다. 또한 동 기준이 변경되었을 경우에도 같은 방법으로 을에게  통지한다.","제7조 [상품의 반품] 갑은 원칙적으로 정당한 사유 없이 매입 상품을 반품할 수 없으며, 오손·훼손·주문불일치·기간한정상품 등 합리적 사유가 있거나 을의 사전 동의·자발적 요청(이익이 된다는 객관적 근거 제시 포함)이 있는 경우, 또는 지식재산권 침해 등 법령 위반 상품일 때만 일정 기간·절차에 따라 서면 요청 후 반품할 수 있고, 사회 통념상 을이 요청하기 어려운 경우 등에는 반품이 제한되며, 부당 반품 요구가 반복되면 을은 이를 거부할 수 있으며 반품 기준·절차는 사전에 공지된다.","제7조는 상품 반품 규정을 명시하며, 갑이 정당한 사유 없이 상품을 반품할 수 없으나, 오손, 하자, 주문 불일치, 사전 동의, 특정 에디션 판매 기간, 자발적 교체 요청, 위조 상품, 브랜드 정책 준수, 특별한 사정 등 특정 조건 하에서는 을의 사전 동의와 합리적 기간 내에 반품이 허용되며, 갑의 반복적 부당 반품 시에는 거부권이 부여된다. 반품 절차는 서면 요청과 함께 사전 공지된 기준에 따라 이루어져야 하며, 하자 확인 시 객관적 자료 제출이 요구된다.",11.365466117858887,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
"제8조 [판매장려금] ① 갑은 상품의 판매촉진을 위하여 다음 조건에 따라 을로부터 판매장 려금을 수령할 수 있다. 명칭 종류 지급목적 지급시기 지급횟수 판매장려금률(액) 판매 인센티브 성과장려금 갑이  일정한  양 이상의 상품을  성과  달성 시 연 1회 초과판매액의  5%   ② 제1항의 판매장려금률(액)의 결정기준ㆍ결정절차 및 변경사유ㆍ변경기준ㆍ변 경절차는 각각 다음과 같다.   1. 결정기준: 소비자 불만 및 판매 성과 부진 등의 이유로 결정   2. 결정절차: 1)반품 요청은 ""갑""에서 상품을 수령한 후 7일 이내에 서면으로   제출  2) ""을""은 반품 요청서를 접수한 후 3영업일 이내에 검토 후 승인   여부를 통보   3. 변경사유: 반품 조건이나 반품 가능 기간의 변경은 소비자의 구매 성향 변 화, 제품의 품질 불만, 제품 유통기한 경과 등   4. 변경기준: 반품 기한과 반품 수량은 ""갑""과 ""을"" 간의 합의에 따라, 신상품  출시 또는 특별 프로모션에 의해 변경   5. 변경절차: 갑""은 서면 통지로 변경 내용을 ""을""에게 알리며, 양 당사자는 반 품에 대한 세부 사항을 재협상하여 합의된 후 반영, 변경된 조건은 통지 후  7일 이내에 적용 판매 시 판매독려 우수 시즌  판매 인센 티브 시즌장려금 갑이 을의  한정판 제품에 한 하여 실적 향상 시즌 종 료 시 분기별 1 회 총 판매액의 1% ※ 결정기준및변경기준- 갑과을 간의상품거래량및각당사자의상대방에 대한매출액이전체매출액에서차지하는비중, 거래기간, 갑의판매장려금정책 등을종합적으로감안하여실제부과하는판매장려금의수준을결정·변경하기 위한기준을기재 ※ 결정절차및변경절차- 담당MD와납품업체간의협의절차, 협의불성립시 재협의절차, 결정된판매장려금수준의통지및확인등과같은절차적사항을 기재 ※ 변경사유- 매출액의증감, 시장상황의변동과같이판매장려금률의인상/인하가 필요한사유를기재   ③ 갑은 계약기간 중 정당한 사유 없이 제1항의 판매장려금과 관련한 사항을  을에게 불리하게 변경하거나, 을에게 제1항의 판매장려금 외에 자기 또는  제3자를 위하여 금전, 물품, 용역, 그 밖의 경제적 이익을 제공하게 하지 아니한다.","제8조 [판매장려금] 갑은 사전에 정해진 목적·시기·횟수·인센티브율에 따라 성과장려금 및 시즌장려금을 수령할 수 있으며, 그 결정·변경은 시장상황·소비자 불만 등 객관적 기준과 절차에 따라 이루어지고, 계약 기간 중 정당한 사유 없이 이를 일방적으로 변경하거나 추가 비용·물품·용역을 요구할 수 없다.","제8조 [판매장려금]은 갑이 상품 판매 촉진을 위해 을로부터 일정 판매 성과 달성 시 연 1회 초과판매액의 5%를 지급받을 수 있으며, 판매장려금의 결정 기준, 절차, 변경 사유 및 방법이 상세히 규정되어 있다. 갑은 계약 기간 동안 판매장려금 관련 불리한 변경을 시도하거나 추가적인 경제적 이익 제공을 금지하며, 반품 및 조건 변경 시에도 상호 합의를 통해 처리한다.",15.216880798339844,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,0.3333333333333333,1.0,0.5
"제9조 [판촉사원 파견 등] ① 갑은 을로부터 을의 종업원이나 을이 고용한 인력(이하  판촉사원이라 한다)을 파견 받아 그의 판매업무 등에 종사하게 하거나,  갑이 고용한 직원의 인건비를 을에게 부담하게 하지 아니한다. 다만, 다 음 각 호의 어느 하나에 해당하는 경우에는 갑이 을의 판촉사원을  을이 납품하는 상품의 판매 및 관리 업무에 종사하게 할 수 있다.   1. 갑이 파견된 판촉사원의 인건비, 식비ㆍ교통비 등 각종 실비, 상품의 판 매 및 관련 업무 종사를 위해 소요되는 비용을 부담하는 경우   2.  을은 판촉 활동을 통해 예상되는 잠재적인 이익과 관련 비용의 세부 내역 을 주관적인 해석과 함께 모호하게 제시하여, 이 내용이 포함된 서명 또는  날인된 문서를 통해 갑에게 부당하게 압박을 가하며 파견 요청을 하는  경우   3. 갑이 특수한 판매기법 또는 능력을 지닌 숙련된 판촉사원을 을로부 터 파견 받는 경우  ② 제1항 단서에 해당하는 경우, 을은 5명의 범위에서 판촉사원을 파견할 수  있으며, 갑은 추가 파견을 강요하거나, 파견된 판촉사원이 판촉 업무 외의  갑의 고유 업무를 수행하도록 해서는 안 된다.  ③ 제2항에 따라 파견된 판촉사원은 을의 지시·명령을 받아 을이 납품 한 상품의 판매 및 관리 업무에 종사한다.  ④ 을이 파견한 판촉사원은 갑의 영업시간 동안 근무하고, 근무기간은   2024. 2. 1.부터 2024. 7. 1.까지로 한다.   ⑤ 제1항 제2호 내지 제3호에 따라 파견된 판촉사원에 관한 인건비 등의 비용은  파견사유, 을의 예상이익과 비용 등을 고려하여 갑과 을이 협의하여  부담한다.  ⑥ 을은 갑의 매장에서 상품의 판매업무 등의 수행을 위해 준수가 요구 되는 관세법 및 보세판매장 운영에 관한 고시 등 관련법규 교육을 판촉사원 에게 실시하여야 하며, 자체적인 교육이 어려울 경우 갑에게 서면으로 해당  교육을 요청할 수 있다.   ⑦ 갑은 판촉사원 파견에 대한 기준을 사전에 자신의 홈페이지 등 을이  상시 접근 가능한 매체수단에 공지하거나, 계약체결 시 별도의 서면으로 을 에게 통지한다. 또한 동 기준이 변경되었을 경우에도 같은 방법으로 을에게  통지한다.","제9조 [판촉사원 파견 등] 갑은 원칙적으로 을에게 판촉사원 파견이나 인건비 부담을 강요하지 않되, 필요한 경우(갑이 비용을 부담하거나 특수 능력이 필요한 경우 등)에 한해 최대 5명까지 파견을 받으며, 파견된 사원은 을의 지시에 따라 상품 판매·관리 업무를 수행하고 근무기간·비용부담·교육 등 세부사항은 상호 협의 후 서면 통지하며, 기준이 변경될 경우 같은 방식으로 공지한다.","제9조는 판촉사원 파견에 관한 규정으로, 갑은 을로부터 판촉사원을 파견받아 판매업무에 종사시키되, 인건비 부담은 파견 사유에 따라 갑과 을이 협의하여 결정하며, 파견 조건은 인건비 부담 가능 사유, 을의 이익 보장 요청 시, 숙련된 인력 파견 등에 따라 제한적이다. 파견된 판촉사원은 을의 상품 판매 및 관리 업무에 종사하며, 근무 기간과 교육 의무는 명시되어 있고, 파견 기준은 사전 공지 또는 서면 통지를 통해 투명하게 관리된다.",9.726665496826172,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,1.0,0.5,0.6666666666666666
